id,subconjunto,question_type,medical_task,body_system,chars,words,chars_full,words_full,tok_cl100k,tok_cl100k_full,tok_qwen,tok_qwen_full
MM-84,MM,Reasoning,Basic Science,Respiratory,883,122,1190,163,182,257,183,258
MM-85,MM,Reasoning,Diagnosis,Cardiovascular,773,115,923,140,191,236,199,244
MM-86,MM,Reasoning,Basic Science,Nervous,586,90,708,112,121,153,123,155
MM-87,MM,Reasoning,Treatment,Cardiovascular,876,132,985,146,204,240,208,244
MM-88,MM,Reasoning,Basic Science,Lymphatic,833,109,916,122,199,231,201,233
MM-89,MM,Reasoning,Diagnosis,Respiratory,159,21,275,36,52,96,52,96
MM-90,MM,Understanding,Diagnosis,Digestive,176,21,309,36,51,94,51,94
MM-91,MM,Reasoning,Basic Science,Integumentary,404,70,472,87,113,163,114,164
MM-92,MM,Reasoning,Treatment,Nervous,558,85,840,130,132,204,133,205
MM-93,MM,Understanding,Basic Science,Nervous,885,138,1023,158,206,247,212,253
MM-94,MM,Reasoning,Diagnosis,Nervous,401,61,539,81,101,143,102,144
MM-95,MM,Reasoning,Diagnosis,Endocrine,516,73,655,93,108,148,109,149
MM-96,MM,Reasoning,Diagnosis,Cardiovascular,914,129,1110,152,224,288,231,295
MM-97,MM,Understanding,Basic Science,Skeletal,364,53,538,76,75,115,75,115
MM-98,MM,Understanding,Diagnosis,Integumentary,378,57,503,73,99,144,100,145
MM-99,MM,Reasoning,Basic Science,Respiratory,788,128,823,138,169,194,177,207
MM-100,MM,Understanding,Diagnosis,Skeletal,137,19,219,30,43,76,43,76
MM-101,MM,Reasoning,Diagnosis,Cardiovascular,931,134,1093,154,206,249,215,258
MM-102,MM,Understanding,Basic Science,Integumentary,420,64,487,74,99,134,100,135
MM-103,MM,Reasoning,Treatment,Nervous,439,68,575,86,110,146,118,154
MM-104,MM,Reasoning,Diagnosis,Cardiovascular,882,133,1115,170,201,254,209,262
MM-105,MM,Reasoning,Basic Science,Nervous,1151,172,1357,201,263,323,272,332
MM-106,MM,Reasoning,Diagnosis,Skeletal,284,44,372,56,79,116,80,117
MM-107,MM,Understanding,Diagnosis,Integumentary,282,34,442,52,65,112,65,112
MM-108,MM,Understanding,Diagnosis,Skeletal,397,65,458,80,91,121,93,125
MM-109,MM,Reasoning,Treatment,Skeletal,1286,211,1441,229,315,370,325,380
MM-110,MM,Reasoning,Basic Science,Skeletal,465,67,651,91,98,139,99,140
MM-111,MM,Reasoning,Treatment,Integumentary,744,121,828,132,173,212,174,213
MM-112,MM,Reasoning,Treatment,Skeletal,524,85,814,133,113,179,114,180
MM-113,MM,Reasoning,Diagnosis,Respiratory,1080,155,1216,174,246,290,261,305
MM-114,MM,Understanding,Diagnosis,Digestive,509,71,658,91,118,165,119,166
MM-115,MM,Reasoning,Diagnosis,Lymphatic,819,121,970,141,181,217,189,225
MM-116,MM,Reasoning,Diagnosis,Integumentary,149,22,255,38,45,82,45,82
MM-117,MM,Reasoning,Treatment,Respiratory,1065,156,1216,177,246,287,260,301
MM-118,MM,Reasoning,Diagnosis,Nervous,1163,176,1850,288,244,394,251,407
MM-119,MM,Reasoning,Diagnosis,Skeletal,559,80,703,99,125,167,126,168
MM-120,MM,Reasoning,Treatment,Skeletal,548,81,914,138,110,193,110,193
MM-121,MM,Understanding,Basic Science,Skeletal,208,32,322,50,60,102,60,102
MM-122,MM,Reasoning,Basic Science,Cardiovascular,826,131,886,146,196,221,204,229
MM-123,MM,Reasoning,Treatment,Cardiovascular,652,90,722,100,147,178,150,181
MM-124,MM,Understanding,Treatment,Integumentary,943,134,1035,147,223,261,231,269
MM-125,MM,Reasoning,Treatment,Skeletal,551,76,744,101,108,148,109,149
MM-126,MM,Reasoning,Diagnosis,Integumentary,799,133,883,146,214,247,222,255
MM-127,MM,Reasoning,Diagnosis,Integumentary,704,97,1017,135,159,231,160,232
MM-128,MM,Reasoning,Diagnosis,Digestive,256,35,362,49,66,104,67,105
MM-129,MM,Reasoning,Basic Science,Nervous,671,108,696,118,142,162,147,167
MM-130,MM,Understanding,Diagnosis,Urinary,820,121,921,136,178,213,185,220
MM-131,MM,Reasoning,Treatment,Cardiovascular,1279,185,1393,204,358,396,380,418
MM-132,MM,Reasoning,Diagnosis,Cardiovascular,224,35,322,50,53,82,53,82
MM-133,MM,Reasoning,Diagnosis,Cardiovascular,1153,156,1298,173,243,287,246,290
MM-134,MM,Reasoning,Basic Science,Muscular,456,76,508,86,112,138,113,139
MM-135,MM,Understanding,Diagnosis,Cardiovascular,416,65,484,75,110,144,111,145
MM-136,MM,Reasoning,Treatment,Skeletal,615,92,902,136,124,187,125,188
MM-137,MM,Understanding,Basic Science,Nervous,488,79,540,94,117,147,120,152
MM-138,MM,Understanding,Diagnosis,Respiratory,507,64,754,91,134,212,135,213
MM-139,MM,Reasoning,Diagnosis,Cardiovascular,357,50,481,65,89,134,90,135
MM-140,MM,Understanding,Diagnosis,Skeletal,228,36,332,51,66,102,67,103
MM-141,MM,Reasoning,Basic Science,Reproductive,711,114,736,124,149,169,150,170
MM-142,MM,Understanding,Diagnosis,Muscular,529,87,682,113,112,152,114,155
MM-143,MM,Understanding,Diagnosis,Integumentary,190,24,314,39,57,103,57,103
MM-144,MM,Understanding,Diagnosis,Integumentary,212,31,291,43,56,89,56,89
MM-145,MM,Reasoning,Treatment,Respiratory,697,99,776,109,162,199,171,208
MM-146,MM,Reasoning,Diagnosis,Digestive,219,29,339,45,55,95,55,95
MM-147,MM,Reasoning,Treatment,Nervous,670,104,898,141,144,208,147,213
MM-148,MM,Reasoning,Diagnosis,Respiratory,227,33,330,47,59,94,60,95
MM-149,MM,Reasoning,Treatment,Lymphatic,870,133,949,146,206,242,215,251
MM-150,MM,Reasoning,Basic Science,Skeletal,357,59,402,69,102,137,114,159
MM-151,MM,Reasoning,Treatment,Skeletal,596,89,799,123,120,171,121,172
MM-152,MM,Understanding,Basic Science,Integumentary,753,118,818,135,171,202,173,205
MM-153,MM,Understanding,Diagnosis,Skeletal,148,21,251,36,53,97,53,97
MM-154,MM,Understanding,Diagnosis,Digestive,708,105,813,120,151,188,152,189
MM-155,MM,Reasoning,Treatment,Cardiovascular,1170,160,1339,180,312,382,322,392
MM-156,MM,Reasoning,Diagnosis,Urinary,652,92,807,112,144,185,148,189
MM-157,MM,Reasoning,Diagnosis,Endocrine,189,28,271,39,57,94,57,94
MM-158,MM,Reasoning,Basic Science,Skeletal,363,62,448,86,93,127,93,127
MM-159,MM,Reasoning,Diagnosis,Cardiovascular,188,33,279,51,51,84,51,84
MM-160,MM,Reasoning,Diagnosis,Cardiovascular,357,50,504,69,92,141,92,141
MM-161,MM,Reasoning,Diagnosis,Endocrine,1427,255,2028,385,415,630,438,663
MM-162,MM,Reasoning,Diagnosis,Skeletal,570,99,812,146,138,209,141,214
MM-163,MM,Reasoning,Diagnosis,Cardiovascular,754,112,928,136,180,228,189,237
MM-164,MM,Understanding,Diagnosis,Integumentary,471,72,519,82,105,128,106,129
MM-165,MM,Understanding,Diagnosis,Skeletal,236,30,373,46,62,107,62,107
MM-166,MM,Understanding,Diagnosis,Integumentary,197,29,288,43,51,81,51,81
MM-167,MM,Understanding,Diagnosis,Integumentary,281,45,376,60,71,105,71,105
MM-168,MM,Reasoning,Basic Science,Nervous,544,80,569,90,122,142,123,143
MM-169,MM,Reasoning,Diagnosis,Skeletal,1019,161,1254,198,256,309,268,321
MM-170,MM,Reasoning,Diagnosis,Reproductive,200,34,283,48,55,85,55,85
MM-171,MM,Understanding,Diagnosis,Digestive,537,71,671,89,139,186,146,193
MM-172,MM,Understanding,Basic Science,Cardiovascular,185,30,295,50,51,89,51,89
MM-173,MM,Understanding,Basic Science,Respiratory,196,30,292,47,49,82,49,82
MM-174,MM,Understanding,Basic Science,Skeletal,208,32,322,50,60,102,60,102
MM-175,MM,Reasoning,Diagnosis,Skeletal,1015,146,1183,165,239,290,248,300
MM-176,MM,Reasoning,Treatment,Integumentary,1446,236,1585,255,338,386,350,398
MM-177,MM,Reasoning,Diagnosis,Respiratory,193,24,312,38,56,100,56,100
MM-178,MM,Reasoning,Diagnosis,Cardiovascular,986,158,1122,182,270,314,286,330
MM-179,MM,Understanding,Diagnosis,Integumentary,219,28,327,42,54,91,54,91
MM-180,MM,Reasoning,Treatment,Skeletal,344,52,469,71,79,114,80,115
MM-181,MM,Understanding,Diagnosis,Integumentary,386,54,515,69,90,134,91,135
MM-182,MM,Reasoning,Treatment,Reproductive,996,150,1224,182,206,252,213,259
MM-183,MM,Reasoning,Diagnosis,Skeletal,326,51,458,74,75,113,75,113
MM-184,MM,Understanding,Diagnosis,Integumentary,128,18,213,30,41,74,41,74
MM-185,MM,Reasoning,Treatment,Reproductive,984,147,1108,166,217,251,226,260
MM-186,MM,Reasoning,Diagnosis,Digestive,1018,135,1094,145,222,256,223,257
MM-187,MM,Reasoning,Diagnosis,Urinary,926,144,1065,164,271,313,288,330
MM-188,MM,Reasoning,Diagnosis,Cardiovascular,1438,203,1573,222,399,433,428,462
MM-189,MM,Understanding,Basic Science,Nervous,987,137,1103,156,214,255,222,263
MM-190,MM,Reasoning,Treatment,Cardiovascular,1309,202,1619,253,360,427,381,448
MM-191,MM,Understanding,Diagnosis,Integumentary,532,84,639,99,128,173,128,173
MM-192,MM,Reasoning,Treatment,Skeletal,730,107,1043,153,148,216,149,217
MM-193,MM,Reasoning,Diagnosis,Digestive,488,73,524,83,112,137,119,150
MM-194,MM,Understanding,Diagnosis,Integumentary,221,25,362,40,68,123,68,123
MM-195,MM,Reasoning,Diagnosis,Nervous,997,156,1104,172,258,295,272,309
MM-196,MM,Reasoning,Diagnosis,Digestive,124,20,179,31,37,63,37,63
MM-197,MM,Reasoning,Treatment,Respiratory,730,100,851,115,174,225,186,237
MM-198,MM,Reasoning,Diagnosis,Respiratory,1073,168,1210,191,241,278,249,286
MM-199,MM,Reasoning,Diagnosis,Cardiovascular,176,23,288,37,46,81,46,81
MM-200,MM,Understanding,Treatment,Integumentary,701,109,769,119,182,218,191,227
MM-201,MM,Reasoning,Diagnosis,Skeletal,551,75,707,94,133,185,134,186
MM-202,MM,Reasoning,Treatment,Skeletal,545,79,816,116,111,170,112,171
MM-203,MM,Reasoning,Treatment,Muscular,828,127,1154,177,187,268,190,271
MM-204,MM,Reasoning,Treatment,Cardiovascular,1174,173,1241,183,286,319,298,331
MM-205,MM,Reasoning,Basic Science,Cardiovascular,855,127,987,145,176,216,177,217
MM-206,MM,Reasoning,Treatment,Muscular,624,84,846,110,118,166,119,167
MM-207,MM,Reasoning,Diagnosis,Integumentary,704,102,789,113,164,205,165,206
MM-208,MM,Reasoning,Diagnosis,Cardiovascular,792,122,986,150,198,250,208,260
MM-209,MM,Reasoning,Diagnosis,Respiratory,309,45,435,62,77,116,78,117
MM-210,MM,Reasoning,Diagnosis,Integumentary,440,75,573,97,107,146,108,147
MM-211,MM,Reasoning,Treatment,Cardiovascular,252,33,363,46,59,94,59,94
MM-212,MM,Reasoning,Diagnosis,Muscular,762,122,1145,182,172,269,175,274
MM-213,MM,Reasoning,Diagnosis,Nervous,719,107,837,123,165,199,174,208
MM-214,MM,Reasoning,Treatment,Skeletal,530,82,816,129,120,194,122,196
MM-215,MM,Understanding,Diagnosis,Integumentary,166,23,248,34,47,78,47,78
MM-216,MM,Reasoning,Diagnosis,Lymphatic,1481,241,1788,283,345,431,354,440
MM-217,MM,Reasoning,Treatment,Skeletal,473,74,616,93,110,151,111,152
MM-218,MM,Reasoning,Basic Science,Other / NA,616,93,710,107,127,157,127,157
MM-219,MM,Reasoning,Diagnosis,Cardiovascular,1259,194,1398,212,283,323,293,334
MM-220,MM,Reasoning,Basic Science,Respiratory,951,138,1295,191,216,304,226,314
MM-221,MM,Understanding,Diagnosis,Digestive,293,43,404,58,77,117,79,119
MM-222,MM,Reasoning,Diagnosis,Nervous,291,45,351,60,72,102,73,103
MM-223,MM,Reasoning,Diagnosis,Cardiovascular,532,76,666,95,118,154,119,155
MM-224,MM,Reasoning,Diagnosis,Digestive,1583,241,1965,293,352,434,360,442
MM-225,MM,Reasoning,Diagnosis,Skeletal,538,78,710,101,114,161,114,161
MM-226,MM,Understanding,Basic Science,Endocrine,896,139,1032,159,191,226,193,228
MM-227,MM,Reasoning,Diagnosis,Cardiovascular,1106,153,1351,186,249,305,259,315
MM-228,MM,Reasoning,Diagnosis,Respiratory,675,100,804,119,147,187,149,189
MM-229,MM,Understanding,Diagnosis,Integumentary,604,94,699,109,147,180,156,189
MM-230,MM,Reasoning,Diagnosis,Endocrine,716,119,741,129,176,196,185,205
MM-231,MM,Reasoning,Diagnosis,Skeletal,1213,186,1397,211,281,321,296,336
MM-232,MM,Reasoning,Diagnosis,Skeletal,209,34,314,50,58,95,58,95
MM-233,MM,Reasoning,Diagnosis,Nervous,1224,173,1421,194,307,363,323,380
MM-234,MM,Reasoning,Diagnosis,Skeletal,376,57,455,69,88,118,89,119
MM-235,MM,Reasoning,Diagnosis,Nervous,1041,149,1152,165,267,297,286,317
MM-236,MM,Reasoning,Diagnosis,Cardiovascular,395,55,561,81,97,142,98,143
MM-237,MM,Reasoning,Diagnosis,Digestive,1210,169,1435,195,283,354,289,360
MM-238,MM,Reasoning,Diagnosis,Endocrine,1058,166,1083,176,291,311,317,337
MM-239,MM,Reasoning,Treatment,Skeletal,1234,187,1656,249,274,372,280,381
MM-240,MM,Understanding,Basic Science,Urinary,326,53,351,63,71,91,71,91
MM-241,MM,Understanding,Diagnosis,Skeletal,316,45,376,60,74,99,74,99
MM-242,MM,Reasoning,Diagnosis,Reproductive,827,115,961,133,177,218,179,220
MM-243,MM,Understanding,Diagnosis,Integumentary,210,32,304,45,56,90,56,90
MM-244,MM,Reasoning,Basic Science,Urinary,730,111,755,121,168,188,171,191
MM-245,MM,Reasoning,Diagnosis,Cardiovascular,1991,359,2127,378,596,639,631,674
MM-246,MM,Understanding,Diagnosis,Nervous,718,109,848,124,181,231,190,240
MM-247,MM,Reasoning,Diagnosis,Skeletal,329,49,485,71,76,117,77,118
MM-248,MM,Reasoning,Diagnosis,Respiratory,196,25,300,38,51,88,51,88
MM-249,MM,Reasoning,Basic Science,Skeletal,1185,186,1726,275,257,390,260,395
MM-250,MM,Understanding,Diagnosis,Skeletal,595,98,739,122,132,174,132,174
MM-251,MM,Reasoning,Treatment,Reproductive,385,57,548,82,81,120,82,121
MM-252,MM,Understanding,Diagnosis,Reproductive,302,48,432,68,71,109,71,109
MM-253,MM,Reasoning,Treatment,Nervous,882,123,963,133,192,231,199,238
MM-254,MM,Reasoning,Treatment,Cardiovascular,741,112,866,129,174,208,184,218
MM-255,MM,Reasoning,Diagnosis,Skeletal,770,129,1025,174,179,253,180,254
MM-256,MM,Reasoning,Diagnosis,Skeletal,523,78,638,92,132,177,134,179
MM-257,MM,Understanding,Diagnosis,Urinary,147,20,251,34,45,82,45,82
MM-258,MM,Understanding,Diagnosis,Skeletal,194,27,315,43,52,91,52,91
MM-259,MM,Reasoning,Basic Science,Cardiovascular,426,65,503,75,102,140,102,140
MM-260,MM,Reasoning,Treatment,Skeletal,445,61,607,84,99,146,100,147
MM-261,MM,Reasoning,Diagnosis,Digestive,690,108,746,123,183,216,193,228
MM-262,MM,Reasoning,Treatment,Skeletal,721,113,1009,159,162,236,163,237
MM-263,MM,Understanding,Diagnosis,Integumentary,502,77,623,93,128,175,131,178
MM-264,MM,Reasoning,Diagnosis,Cardiovascular,258,36,368,52,62,101,62,101
MM-265,MM,Reasoning,Diagnosis,Respiratory,259,37,355,50,67,101,68,102
MM-266,MM,Reasoning,Treatment,Skeletal,489,79,597,96,111,138,112,139
MM-267,MM,Reasoning,Diagnosis,Urinary,548,86,608,101,115,140,116,141
MM-268,MM,Reasoning,Treatment,Digestive,939,140,1125,167,205,249,213,257
MM-269,MM,Understanding,Diagnosis,Integumentary,141,20,227,32,44,78,44,78
MM-270,MM,Understanding,Diagnosis,Skeletal,388,60,486,72,99,140,100,141
MM-271,MM,Reasoning,Basic Science,Nervous,707,116,732,126,151,171,157,177
MM-272,MM,Reasoning,Basic Science,Cardiovascular,1168,169,1485,209,259,336,267,344
MM-273,MM,Reasoning,Diagnosis,Skeletal,438,80,788,145,102,187,102,187
MM-274,MM,Understanding,Basic Science,Endocrine,684,102,729,117,143,168,144,169
MM-275,MM,Reasoning,Diagnosis,Respiratory,910,130,1058,148,203,245,216,258
MM-276,MM,Reasoning,Diagnosis,Endocrine,1211,176,1331,192,351,393,371,414
MM-277,MM,Reasoning,Diagnosis,Nervous,1175,183,1328,205,256,302,265,312
MM-278,MM,Reasoning,Diagnosis,Cardiovascular,724,124,749,134,157,177,158,178
MM-279,MM,Reasoning,Treatment,Skeletal,232,37,257,47,61,81,61,81
MM-280,MM,Reasoning,Basic Science,Skeletal,396,65,456,80,91,116,93,118
MM-281,MM,Reasoning,Diagnosis,Respiratory,827,122,1074,163,202,271,213,282
MM-282,MM,Reasoning,Basic Science,Skeletal,649,103,709,118,139,164,140,165
MM-283,MM,Reasoning,Diagnosis,Digestive,335,49,433,63,77,114,77,114
MM-284,MM,Reasoning,Treatment,Respiratory,169,29,248,46,50,82,51,83
MM-285,MM,Reasoning,Diagnosis,Lymphatic,933,139,1086,163,206,246,216,256
MM-286,MM,Reasoning,Basic Science,Skeletal,445,64,603,85,101,148,102,149
MM-287,MM,Understanding,Basic Science,Skeletal,203,37,263,52,54,79,54,79
MM-288,MM,Reasoning,Basic Science,Cardiovascular,821,125,906,139,195,230,203,238
MM-289,MM,Reasoning,Diagnosis,Nervous,499,68,587,81,107,141,108,142
MM-290,MM,Reasoning,Diagnosis,Respiratory,747,113,992,148,155,215,156,216
MM-291,MM,Understanding,Diagnosis,Cardiovascular,313,41,446,57,80,126,81,127
MM-292,MM,Reasoning,Treatment,Lymphatic,954,138,1058,151,271,314,287,330
MM-293,MM,Reasoning,Diagnosis,Skeletal,374,55,500,73,79,112,80,113
MM-294,MM,Reasoning,Diagnosis,Nervous,924,128,1053,143,201,239,209,247
MM-295,MM,Reasoning,Diagnosis,Nervous,951,137,1114,161,209,265,217,274
MM-296,MM,Reasoning,Treatment,Skeletal,844,133,1257,202,177,268,178,269
MM-297,MM,Reasoning,Treatment,Cardiovascular,919,136,1085,159,216,264,229,277
MM-298,MM,Understanding,Basic Science,Urinary,348,53,471,72,79,119,79,119
MM-299,MM,Understanding,Treatment,Integumentary,489,74,581,89,103,135,104,136
MM-300,MM,Reasoning,Basic Science,Skeletal,311,59,348,73,85,109,86,110
MM-301,MM,Reasoning,Diagnosis,Skeletal,460,70,520,85,99,124,100,125
MM-302,MM,Reasoning,Diagnosis,Digestive,620,85,755,103,129,170,130,171
MM-303,MM,Reasoning,Diagnosis,Nervous,585,80,729,96,136,185,137,186
MM-304,MM,Reasoning,Diagnosis,Cardiovascular,811,123,871,138,193,218,202,227
MM-305,MM,Reasoning,Diagnosis,Nervous,169,24,283,40,46,82,46,82
MM-306,MM,Reasoning,Diagnosis,Skeletal,263,39,388,55,69,107,69,107
MM-307,MM,Reasoning,Diagnosis,Respiratory,740,120,800,135,170,195,176,201
MM-308,MM,Reasoning,Treatment,Nervous,740,111,898,140,169,219,178,228
MM-309,MM,Reasoning,Treatment,Endocrine,1105,169,1251,191,309,351,328,370
MM-310,MM,Understanding,Diagnosis,Reproductive,497,72,604,87,120,161,121,162
MM-311,MM,Understanding,Diagnosis,Cardiovascular,978,165,1406,248,239,340,245,346
MM-312,MM,Reasoning,Treatment,Skeletal,734,111,913,138,167,216,168,217
MM-313,MM,Reasoning,Diagnosis,Reproductive,1021,153,1124,167,291,327,311,347
MM-314,MM,Reasoning,Diagnosis,Digestive,902,131,1021,149,201,240,207,246
MM-315,MM,Reasoning,Basic Science,Respiratory,678,111,703,121,152,177,153,178
MM-316,MM,Reasoning,Diagnosis,Respiratory,1746,254,1946,283,500,552,544,596
MM-317,MM,Reasoning,Diagnosis,Cardiovascular,735,105,899,125,158,207,160,209
MM-318,MM,Reasoning,Treatment,Skeletal,583,94,847,141,123,185,123,185
MM-319,MM,Reasoning,Diagnosis,Skeletal,343,52,469,70,79,114,80,115
MM-320,MM,Understanding,Diagnosis,Cardiovascular,749,113,935,142,187,242,191,246
MM-321,MM,Reasoning,Diagnosis,Reproductive,1082,166,1258,189,262,313,271,322
MM-322,MM,Reasoning,Diagnosis,Muscular,872,131,1008,149,189,228,190,229
MM-323,MM,Reasoning,Diagnosis,Urinary,287,38,420,57,65,105,66,106
