qid,file,body_system,question_type,medical_task,format,mode,width,height,area_px,aspect,filesize,is_gray,md5,phash
MM-13,MM-13-a.jpeg,Skeletal,Reasoning,Treatment,JPEG,RGB,265,450,119250,0.5889,12687,True,2ef6fa9f39f5a34bf9de86655eedcc6c,9a65e7b633303398
MM-13,MM-13-b.jpeg,Skeletal,Reasoning,Treatment,JPEG,RGB,265,450,119250,0.5889,13955,True,5f080fbf0b55fe754a1d21d6ff5b7eaf,9a65627e66213793
MM-14,MM-14-a.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,L,1414,1000,1414000,1.414,46513,True,7f75d8936ccf6443f2fb97ffbb0f5ca5,a387dd38e659a245
MM-15,MM-15-a.jpeg,Nervous,Reasoning,Basic Science,PNG,RGBA,500,480,240000,1.0417,180872,True,bdd3a6dde958f351b6b48000d369d91a,8341788ee43fc73c
MM-16,MM-16-a.jpeg,Other / NA,Understanding,Diagnosis,JPEG,RGB,1500,1294,1941000,1.1592,476716,False,99f340ba00e713d5312d6190bf17c1c1,ced5350e70277433
MM-17,MM-17-a.jpeg,Digestive,Understanding,Diagnosis,JPEG,RGB,1500,1078,1617000,1.3915,639396,False,bea95d3cc27803d332edca780a0bc7dd,ead324cccb88d732
MM-18,MM-18-a.jpeg,Lymphatic,Understanding,Diagnosis,JPEG,RGB,504,336,169344,1.5,79177,False,f8869427ecd544f57580dde73dd06a2c,c7d2d06e4a968dc9
MM-18,MM-18-b.jpeg,Lymphatic,Understanding,Diagnosis,JPEG,RGB,1182,762,900684,1.5512,94737,False,f39d2de4d24243b4a5b00a9160a9ee2a,f3eea5122de14949
MM-18,MM-18-c.jpeg,Lymphatic,Understanding,Diagnosis,JPEG,RGB,504,330,166320,1.5273,89938,False,4f60d2b65cce6b1a4979e61a0ee3f6bc,a3799c1ab697d822
MM-18,MM-18-d.jpeg,Lymphatic,Understanding,Diagnosis,JPEG,RGB,504,330,166320,1.5273,82509,False,c1c8822038a680de0801299b50d45d0b,b31a0d6833678cee
MM-18,MM-18-e.jpeg,Lymphatic,Understanding,Diagnosis,JPEG,RGB,540,360,194400,1.5,124501,False,1a3ae3283146dd7a6b3cf6446591e4f7,d6aa97c8c3a46665
MM-19,MM-19-a.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,RGB,1600,932,1491200,1.7167,401495,False,a2e738dea9c7064f5abd957c9c3107d7,eadfdd85c580c0c5
MM-20,MM-20-a.jpeg,Skeletal,Reasoning,Diagnosis,JPEG,RGB,1029,999,1027971,1.03,134152,False,3953e4fb72b2f1ba79f7de1706dffbb7,d4252a455d4b59db
MM-21,MM-21-a.jpeg,Urinary,Reasoning,Basic Science,JPEG,RGB,759,999,758241,0.7598,49858,True,6af7ef3af3cab902848ee83e74906853,fb66c6c8a550b0da
MM-22,MM-22-a.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,RGB,1414,1000,1414000,1.414,43919,True,2b496e8c4695ccf3e03cbd9e0bf8504a,8783578c5ca877a6
MM-23,MM-23-a.jpeg,Skeletal,Reasoning,Treatment,PNG,RGBA,500,375,187500,1.3333,296937,True,68b7d4f76dc07f3acbc3772f2a3c985c,c9d933c4e226dc71
MM-24,MM-24-a.jpeg,Skeletal,Reasoning,Treatment,JPEG,RGB,635,444,281940,1.4302,32150,True,9c1f3c96b53f5e1ac6bc7ff12c519acf,9580289a3c8ffebc
MM-25,MM-25-a.jpeg,Nervous,Reasoning,Diagnosis,JPEG,RGB,385,496,190960,0.7762,25989,True,2d0c5f116efedd13fba6ad54c0908ea3,80375fea7ae16885
MM-25,MM-25-b.jpeg,Nervous,Reasoning,Diagnosis,JPEG,RGB,463,578,267614,0.801,37209,True,cdf8804ac0858174ec6329913618074f,8517577c5a706971
MM-25,MM-25-c.jpeg,Nervous,Reasoning,Diagnosis,JPEG,RGB,325,379,123175,0.8575,23265,True,5ad6c512dcf1a0ecc918d179664feb28,915e416a4f2d0f6d
MM-25,MM-25-d.jpeg,Nervous,Reasoning,Diagnosis,JPEG,RGB,343,433,148519,0.7921,20514,True,626a0658a19652bf233e2d4157ccdbc4,d0620f297ba77836
MM-25,MM-25-e.jpeg,Nervous,Reasoning,Diagnosis,JPEG,RGB,376,402,151152,0.9353,23492,True,ebc3bcee39e8a45e1916fe011e025b28,d55a026b1f690f6c
MM-26,MM-26-a.jpeg,Lymphatic,Reasoning,Diagnosis,JPEG,RGB,1500,1109,1663500,1.3526,235998,False,931213bfa8e04bd427d39e4efea76ace,ebac84a7d40ff824
MM-27,MM-27-a.png,Lymphatic,Understanding,Basic Science,PNG,RGB,476,292,138992,1.6301,158694,False,6c7c5e441ea1d42680b1991958d93cfd,eac09f38a527a56c
MM-28,MM-28-a.jpeg,Cardiovascular,Reasoning,Basic Science,JPEG,RGB,690,248,171120,2.7823,11625,True,258b236dd98a6ce66af8326e6c3dea6a,80757f757f305888
MM-29,MM-29-a.jpeg,Other / NA,Reasoning,Diagnosis,JPEG,RGB,244,195,47580,1.2513,8939,False,7eaf2d87c96a3100f6edc9b50d7e0345,f05897e98957c386
MM-30,MM-30-a.jpeg,Respiratory,Reasoning,Diagnosis,JPEG,RGB,410,450,184500,0.9111,15467,True,a76b76df1e7fced4f41e611c9cefb0e4,d84da516193f1e4b
MM-31,MM-31-a.jpeg,Nervous,Reasoning,Diagnosis,JPEG,RGB,1500,1995,2992500,0.7519,483891,True,a364c28c9f952da27d7a3f676acd8908,c02c2f9333f227cb
MM-32,MM-32-a.png,Endocrine,Reasoning,Diagnosis,PNG,RGBA,334,407,135938,0.8206,25880,True,848bd1796c79cca598ab46c3b5d0229b,8f39b43e31386ac3
MM-33,MM-33-a.jpeg,Muscular,Reasoning,Treatment,PNG,RGBA,480,480,230400,1.0,78826,True,32cf34440e1603bd6065bd7d99bde69a,94620b9f7ed93846
MM-34,MM-34-a.jpeg,Nervous,Reasoning,Diagnosis,JPEG,RGB,236,316,74576,0.7468,13823,True,0e37385540d0fcc60bc0441b429e3554,8ac656e165732ba6
MM-34,MM-34-b.jpeg,Nervous,Reasoning,Diagnosis,JPEG,RGB,316,316,99856,1.0,13408,True,490e1db0d8388cfca5a2c12ca43dc7b0,b4d71a98793a9097
MM-34,MM-34-c.jpeg,Nervous,Reasoning,Diagnosis,JPEG,RGB,320,316,101120,1.0127,14501,True,185f1a536d9d7d7402431ff389e1fd88,8586c27bc131377d
MM-35,MM-35-a.jpeg,Muscular,Reasoning,Treatment,JPEG,RGB,372,274,101928,1.3577,8525,False,e63819cd4d9fb112874481e5588a1631,c13c1f03c0f07b3f
MM-35,MM-35-b.jpeg,Muscular,Reasoning,Treatment,JPEG,RGB,254,254,64516,1.0,12996,True,3170593b217d451112c624f2cdc8201d,a55a54ea6a2c66ad
MM-36,MM-36-a.jpeg,Skeletal,Reasoning,Treatment,PNG,RGBA,257,288,74016,0.8924,25713,True,0c60fbb4d284bc537dec58ff6e536546,d56e314e2c300b7f
MM-37,MM-37-a.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,RGB,1500,1000,1500000,1.5,217724,False,d533c36f71924a72576fc315da7306c4,8b82beb798d67228
MM-38,MM-38-a.png,Urinary,Reasoning,Diagnosis,PNG,RGBA,545,529,288305,1.0302,569374,False,fd38f57b7e8017b0a6dd2b57cf8f1ae7,fffef87800c44449
MM-39,MM-39-a.jpeg,Respiratory,Reasoning,Basic Science,JPEG,RGB,790,631,498490,1.252,55833,True,f20ac2e8c2e2322c3212745f48966061,e97d411f151217c7
MM-40,MM-40-a.jpeg,Digestive,Reasoning,Diagnosis,JPEG,RGB,1500,960,1440000,1.5625,935345,False,3abe8c3f98a23dcc631d4b5941c42ba2,beca517cc3d189c2
MM-41,MM-41-a.jpeg,Digestive,Reasoning,Diagnosis,JPEG,RGB,1500,1942,2913000,0.7724,556062,True,f7514440f393944f942621cd171625eb,81612f652f36f493
MM-42,MM-42-a.jpeg,Skeletal,Reasoning,Treatment,JPEG,L,400,300,120000,1.3333,55418,True,6a017102f1de5636a5acca10b74f8c0d,e10196bd1e1af85b
MM-42,MM-42-b.jpeg,Skeletal,Reasoning,Treatment,JPEG,L,400,267,106800,1.4981,45486,True,6eb30743e360c87fbc1b8cdc627ae013,c30f3c3331ccc32f
MM-43,MM-43-a.jpeg,Skeletal,Understanding,Diagnosis,JPEG,RGB,566,718,406388,0.7883,46361,True,1dd7bda75b1223a9006d0e3ff546ea44,cd58a8371da255ea
MM-43,MM-43-b.jpeg,Skeletal,Understanding,Diagnosis,JPEG,RGB,578,728,420784,0.794,44097,True,e376c05d3e3dfec34a822cf78a63a481,854aa93755a255ee
MM-43,MM-43-c.jpeg,Skeletal,Understanding,Diagnosis,JPEG,RGB,584,720,420480,0.8111,45297,True,6d8a0cb198b33de05881b15aa00f6708,d15a1f70e01f0ff0
MM-44,MM-44-a.jpeg,Nervous,Reasoning,Diagnosis,JPEG,RGB,512,375,192000,1.3653,33923,True,032392b5259d0285871533640d32ab1c,d63741f33a0e253c
MM-44,MM-44-b.jpeg,Nervous,Reasoning,Diagnosis,JPEG,RGB,1185,1045,1238325,1.134,63549,True,399380dacc55e61337a5cdc2096a5f83,982d461a59ed5cbc
MM-44,MM-44-c.jpeg,Nervous,Reasoning,Diagnosis,JPEG,RGB,1204,1222,1471288,0.9853,557844,True,df353ef59ffb16d063a6fce424dba7ed,dd466935742e143e
MM-44,MM-44-d.jpeg,Nervous,Reasoning,Diagnosis,JPEG,RGB,300,243,72900,1.2346,7396,True,da5a052c104eb47bb67fea0987d51168,c4736c361f0f9863
MM-44,MM-44-e.jpeg,Nervous,Reasoning,Diagnosis,JPEG,RGB,276,204,56304,1.3529,21103,False,7dcb3766a80fc799fa33e81084a16322,81b37331d763c361
MM-45,MM-45-a.jpeg,Skeletal,Understanding,Diagnosis,JPEG,RGB,1500,1332,1998000,1.1261,499008,True,efebf01b99a9cd2093b1f850f817848c,c0d53fdb304cccc6
MM-46,MM-46-a.jpeg,Cardiovascular,Understanding,Basic Science,JPEG,L,450,308,138600,1.461,33413,True,5231b13bb090a87ab6e916e31f818bc7,966928847b966d5b
MM-47,MM-47-a.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,RGB,1500,838,1257000,1.79,1640284,False,c729ee71df00ee49cef997345f43fe0c,cec85b933672ca4c
MM-48,MM-48-a.jpeg,Integumentary,Understanding,Diagnosis,JPEG,RGB,1500,544,816000,2.7574,592111,False,5c50050d2f86f825945612020934bdc0,9195d42bb52ab5ca
MM-49,MM-49-a.jpeg,Skeletal,Understanding,Diagnosis,JPEG,RGB,1500,2412,3618000,0.6219,351517,True,ed98fef5cca8a2a7d87f73960ada7384,8e96b1a5b1caa28f
MM-50,MM-50-a.png,Endocrine,Reasoning,Diagnosis,PNG,P,319,152,48488,2.0987,7009,False,15a95ef346759c62d345a99aa96ea450,807f7f7f7f280080
MM-51,MM-51-a.png,Nervous,Reasoning,Basic Science,PNG,P,484,484,234256,1.0,75042,False,c9771a7f16a7f2e1eef7d18012e1e68f,94e84e9f6e033dc4
MM-52,MM-52-a.jpeg,Skeletal,Understanding,Diagnosis,PNG,RGBA,220,450,99000,0.4889,87929,True,5d3a535b39614b29906ff4ec71508956,92c1b1e4c3b23ced
MM-52,MM-52-b.jpeg,Skeletal,Understanding,Diagnosis,PNG,RGBA,423,450,190350,0.94,226882,True,ed43a1d035f2cc619bf347520bbca6f1,84f17c2f0ccc96d3
MM-53,MM-53-a.png,Endocrine,Reasoning,Basic Science,PNG,RGB,512,321,164352,1.595,333766,False,fda4e017fd97c12df2e7b8fa529d6d4c,8095b5d4d662c97b
MM-54,MM-54-a.jpeg,Integumentary,Understanding,Diagnosis,JPEG,RGB,300,130,39000,2.3077,11945,False,3704e93b9bc48fd7566693c37bc428d6,96bd359548d842af
MM-55,MM-55-a.jpeg,Cardiovascular,Understanding,Basic Science,JPEG,RGB,450,531,238950,0.8475,33619,True,b0964ce683cfbbe246c4953ec76ebd38,c7c3691c3c1e6666
MM-56,MM-56-a.jpeg,Respiratory,Understanding,Diagnosis,JPEG,RGB,1500,1304,1956000,1.1503,216426,True,b833a0edeb80cbd944358573e035f29c,e86985978f969a8a
MM-57,MM-57-a.jpeg,Respiratory,Reasoning,Diagnosis,JPEG,RGB,1500,1571,2356500,0.9548,423219,True,906fa75b785392b1ec19bd120bc9e927,ca2d871eb55ab4c2
MM-58,MM-58-a.jpeg,Skeletal,Reasoning,Treatment,PNG,RGBA,242,400,96800,0.605,93506,True,54b0420ad27b3c04d04b1930ab063dd2,d02f07960d6ee1e9
MM-59,MM-59-a.jpeg,Reproductive,Reasoning,Treatment,JPEG,RGB,442,331,146302,1.3353,17019,True,95a1e1a38c3b2664567386592b362577,865e7b80e9676538
MM-60,MM-60-a.jpeg,Integumentary,Reasoning,Treatment,JPEG,RGB,285,213,60705,1.338,14033,False,875b51cead3d6774eec4291c6e420706,d07a07bf7465254a
MM-61,MM-61-a.jpeg,Respiratory,Reasoning,Treatment,JPEG,RGB,526,382,200932,1.377,25586,True,06be616356c21f7f15772f5aa5f9d494,814716ea7ac169b7
MM-62,MM-62-a.jpeg,Integumentary,Understanding,Diagnosis,JPEG,RGB,720,960,691200,0.75,57435,False,eaded794078f9d955f0d7afa5e29ad1e,b5cd49db0a2c3935
MM-63,MM-63-a.png,Digestive,Reasoning,Diagnosis,PNG,RGBA,756,1024,774144,0.7383,36756,True,524f127c00eb3060195a3957be30b59f,0000000000000000
MM-64,MM-64-a.jpeg,Reproductive,Reasoning,Treatment,JPEG,RGB,413,319,131747,1.2947,18144,True,ef3cc6ce650232ebcf9eb24e5d409da0,edb6c3032e4f3238
MM-65,MM-65-a.jpeg,Endocrine,Reasoning,Diagnosis,JPEG,L,945,999,944055,0.9459,102332,True,35e15a69db785a8a03a4d2c86a4df31c,85d0422f5dab3e6c
MM-66,MM-66-a.jpeg,Lymphatic,Reasoning,Treatment,JPEG,RGB,230,192,44160,1.1979,10008,False,f9748da649ff2b953e66b905e8adf166,9599c8ee07916667
MM-66,MM-66-b.jpeg,Lymphatic,Reasoning,Treatment,JPEG,RGB,640,512,327680,1.25,31603,True,8597f0b3ccbf44231183e15dc8e3d2a5,af21ac19cd5ac5a9
MM-67,MM-67-a.jpeg,Skeletal,Understanding,Diagnosis,JPEG,RGB,1500,2581,3871500,0.5812,699392,True,9f6ff1fdd52a43bf2dafd1b5c402b4cb,802db4f03ef41a7e
MM-68,MM-68-a.jpeg,Nervous,Reasoning,Diagnosis,JPEG,RGB,317,363,115071,0.8733,15891,True,5e1dc6dd08b65685579a06f6742d5d24,dcebb190f8b0b838
MM-68,MM-68-b.jpeg,Nervous,Reasoning,Diagnosis,JPEG,RGB,342,311,106362,1.0997,17078,True,6c77b5a0810596a270b7112abb9d8403,d3b165b393c24c4b
MM-69,MM-69-a.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,RGB,538,269,144722,2.0,11830,True,e4e09830f23bf71870173fbdd58938a2,dc8a0c4e9cf135c7
MM-70,MM-70-a.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,RGB,1500,721,1081500,2.0804,281482,False,6c2df857fe4fc261dc6b93a08c3051b1,9495f0cb65c14fd2
MM-71,MM-71-a.jpeg,Integumentary,Understanding,Diagnosis,JPEG,RGB,1500,2139,3208500,0.7013,1298284,False,a17e3a6eb670c8d03d01155cfcaee478,8f87d87a6479f204
MM-72,MM-72-a.jpeg,Nervous,Reasoning,Diagnosis,JPEG,RGB,1500,577,865500,2.5997,319979,False,40d355379237622d9338ec9e862c0362,ce83b2a5a1f1e07a
MM-73,MM-73-a.jpeg,Skeletal,Reasoning,Treatment,JPEG,RGB,741,1000,741000,0.741,34526,True,567c858800b6ecd3d775a5184a65b02b,d4ce2f24763f0ca2
MM-74,MM-74-a.jpeg,Digestive,Understanding,Diagnosis,JPEG,RGB,1500,994,1491000,1.5091,984177,False,085789288cd7947655f8fad457b61743,d6924b1e94b5adc4
MM-75,MM-75-a.jpeg,Integumentary,Reasoning,Treatment,JPEG,RGB,320,266,85120,1.203,16410,False,5b47a6d3c4febd128cf098a8c74be10f,f9ef1e559d03c082
MM-76,MM-76-a.jpeg,Skeletal,Reasoning,Treatment,JPEG,RGB,237,292,69204,0.8116,7967,True,91d49db063eb00bcf9b543c60ac50256,94e1e47a3a1e6663
MM-76,MM-76-b.jpeg,Skeletal,Reasoning,Treatment,JPEG,RGB,346,350,121100,0.9886,17803,True,109050e67543ade580318a26ef6aaac9,857b0f236094e97b
MM-77,MM-77-a.jpeg,Skeletal,Reasoning,Treatment,JPEG,L,335,316,105860,1.0601,45758,True,bd33d1acfc3ddd16b265594f75bb886c,d6dab9140aa564db
MM-77,MM-77-b.jpeg,Skeletal,Reasoning,Treatment,JPEG,RGB,335,316,105860,1.0601,23702,True,a7dc14409495276c1ebb29f89de598f2,800e61799f73a967
MM-78,MM-78-a.jpeg,Reproductive,Reasoning,Diagnosis,JPEG,L,573,384,220032,1.4922,25233,True,ae89976882c66d03a2837305789aea05,ea1d0fc0381fcf38
MM-79,MM-79-a.jpeg,Skeletal,Reasoning,Diagnosis,JPEG,RGB,306,455,139230,0.6725,61708,True,b0d4bb2d3074edf67f950b7aad65d3d2,c06f8dcc951bdac1
MM-80,MM-80-a.jpeg,Reproductive,Understanding,Diagnosis,JPEG,RGB,1500,1462,2193000,1.026,623813,False,b0e3f27447e854493ee75a24621ee37e,af568d0ac888d5eb
MM-81,MM-81-a.jpeg,Lymphatic,Understanding,Basic Science,JPEG,RGB,308,466,143528,0.6609,19672,True,01841a230a1fcecccebdc13a9ca2f5c5,846859e01f1f3f87
MM-81,MM-81-b.jpeg,Lymphatic,Understanding,Basic Science,JPEG,RGB,300,492,147600,0.6098,19343,False,bed54feb9a8712e1bd737fb63163151d,d1164eb979e92169
MM-82,MM-82-a.jpeg,Cardiovascular,Reasoning,Treatment,JPEG,RGB,4041,1943,7851663,2.0798,2344747,False,f9678f1a7eac9fdf13ce4dba2b36ad95,80a241c76ecf5b9e
MM-83,MM-83-a.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,RGB,332,218,72376,1.5229,18883,False,7ee97d5e59a7954c6c7012e5e2b98b26,ad3e7430c41bb4f8
MM-84,MM-84-a.jpeg,Respiratory,Reasoning,Basic Science,JPEG,RGB,345,306,105570,1.1275,14700,True,ebb7cb58a2872168d04ca2cd444f1cba,ca1a1765be9de8a0
MM-85,MM-85-a.png,Cardiovascular,Reasoning,Diagnosis,PNG,RGBA,1038,176,182688,5.8977,327201,False,85338cf3e0f5413f867f98d9a1c33d6c,ba80c1fe9f7fc080
MM-86,MM-86-a.jpeg,Nervous,Reasoning,Basic Science,JPEG,RGB,1570,1000,1570000,1.57,34431,True,c0a11d2bcf229e4dc913063b2dee3be3,add2d02dd2d02fd2
MM-87,MM-87-a.jpeg,Cardiovascular,Reasoning,Treatment,JPEG,RGB,1600,970,1552000,1.6495,491771,False,7847734a601c918b338cd86117f40315,e7ebc9d8d0189487
MM-88,MM-88-a.jpeg,Lymphatic,Reasoning,Basic Science,JPEG,RGB,1333,1000,1333000,1.333,496500,False,47f9839e70fea6921a252aa2e84f7fd2,c85937ed50d5323a
MM-89,MM-89-a.jpeg,Respiratory,Reasoning,Diagnosis,JPEG,RGB,1500,1315,1972500,1.1407,190036,True,55517c3748af2f53f93fde8fb4ae745e,c43dc35f1b030eb9
MM-90,MM-90-a.jpeg,Digestive,Understanding,Diagnosis,JPEG,RGB,1500,1009,1513500,1.4866,893089,False,d25aedc8406c73414b655a148ef1e4c7,fc1ed2bab8b60087
MM-91,MM-91-a.jpeg,Integumentary,Reasoning,Basic Science,JPEG,RGB,175,264,46200,0.6629,5826,False,1b3922125e22e98ca344a441910ae0a4,da27291d93f32178
MM-92,MM-92-a.jpeg,Nervous,Reasoning,Treatment,PNG,RGBA,400,405,162000,0.9877,199835,True,298b951926dc2c33cfa5a39e17bf50f6,a9d59aaa585d5aa8
MM-93,MM-93-a.jpeg,Nervous,Understanding,Basic Science,JPEG,RGB,284,342,97128,0.8304,8837,False,230dfe0084bf218f37c23ac12d64a3bf,914596877a6a7987
MM-94,MM-94-a.jpeg,Nervous,Reasoning,Diagnosis,PNG,RGBA,179,500,89500,0.358,111492,True,6b3a9df52e608f54659868a231682668,994f33272476496d
MM-94,MM-94-b.jpeg,Nervous,Reasoning,Diagnosis,PNG,RGBA,175,500,87500,0.35,107513,True,ca98667ff0467fc2a3bef92f5417501f,a5655949934f335a
MM-94,MM-94-c.jpeg,Nervous,Reasoning,Diagnosis,PNG,RGBA,375,500,187500,0.75,139122,True,14f5ce7c516d462aab7ad615263a5e29,dd32ec02ef2ca3d0
MM-95,MM-95-a.png,Endocrine,Reasoning,Diagnosis,PNG,RGBA,533,118,62894,4.5169,7466,True,78f83d98ddfabc7651db7a6f95ac49a4,9ddc179166e813c6
MM-96,MM-96-a.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,L,1600,785,1256000,2.0382,335241,True,b14983190b87149239f4b152e67089d7,ccd417ec12cd6d92
MM-97,MM-97-a.jpeg,Skeletal,Understanding,Basic Science,PNG,RGBA,221,450,99450,0.4911,105087,True,0fd167ef12288908ee9e7529e6c0913a,d0789e609e39877a
MM-97,MM-97-b.jpeg,Skeletal,Understanding,Basic Science,PNG,RGBA,337,450,151650,0.7489,147304,True,b99559f197e46c85b24f7a9e913a563d,97739e70873ca04b
MM-98,MM-98-a.jpeg,Integumentary,Understanding,Diagnosis,JPEG,RGB,1500,1125,1687500,1.3333,446773,False,25b6698503ebe4cd252a70158844185b,d1d053773bc06da2
MM-99,MM-99-a.png,Respiratory,Reasoning,Basic Science,PNG,P,265,59,15635,4.4915,3992,False,130dcbd59ac5d3b37e2a839090a31641,8362749f1d0b7c9c
MM-100,MM-100-a.jpeg,Skeletal,Understanding,Diagnosis,JPEG,RGB,1500,2268,3402000,0.6614,361612,False,c367a7e24a41d536ff7c5eba64fde4c6,adcb6334cf26f024
MM-101,MM-101-a.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,RGB,1200,497,596400,2.4145,105187,True,a544e874a05963e5b3f319733aa16b54,c8c74bc706c1f53a
MM-102,MM-102-a.jpeg,Integumentary,Understanding,Basic Science,JPEG,RGB,450,246,110700,1.8293,68975,False,6faed888c067c8dd16ce42ddcee7be66,b8babf7dd45080c2
MM-103,MM-103-a.jpeg,Nervous,Reasoning,Treatment,JPEG,L,885,999,884115,0.8859,94769,True,77896dd498aa4a3d791dcb4ac7f6ab77,d0e04f942d1f3ccb
MM-104,MM-104-a.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,L,450,248,111600,1.8145,31701,True,02b14431461e1968128ae3ebe9cae992,da5a3b607a876e42
MM-104,MM-104-b.jpeg,Cardiovascular,Reasoning,Diagnosis,JPEG,L,450,172,77400,2.6163,20840,True,8c86f53808a81cdb4e5a99b5194e869d,c46a2a2a7b6c2f1b
MM-105,MM-105-a.jpeg,Nervous,Reasoning,Basic Science,JPEG,RGB,424,304,128896,1.3947,13887,False,60b9d29054878b5bd5ac932047e270fc,c84d2b9a362d8dda
